Index,Team,G,Date,Site,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,oFT,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
69,Akron,16,2021-02-12,@,Miami (OH),W,83.0,76.0,30.0,61.0,0.492,14.0,34.0,0.412,9.0,12.0,0.75,12.0,28.0,12.0,5.0,4.0,8.0,18.0,27.0,51.0,0.529,5.0,14.0,0.357,17.0,19.0,0.895,6.0,26.0,9.0,3.0,1.0,8.0,18.0
70,Akron,17,2021-02-16,,Northern Illinois,W,81.0,76.0,20.0,52.0,0.385,11.0,28.0,0.393,30.0,35.0,0.857,9.0,33.0,12.0,4.0,7.0,12.0,12.0,31.0,73.0,0.425,9.0,22.0,0.409,5.0,7.0,0.714,17.0,37.0,14.0,5.0,1.0,12.0,27.0
71,Akron,18,2021-02-19,@,Ball State,W,88.0,79.0,30.0,58.0,0.517,9.0,20.0,0.45,19.0,25.0,0.76,6.0,29.0,16.0,9.0,4.0,10.0,18.0,31.0,65.0,0.477,8.0,21.0,0.381,9.0,9.0,1.0,9.0,28.0,16.0,5.0,0.0,17.0,23.0
72,Akron,19,2021-02-23,@,Ohio,L,73.0,90.0,26.0,67.0,0.388,8.0,32.0,0.25,13.0,19.0,0.684,12.0,37.0,12.0,3.0,5.0,11.0,23.0,30.0,61.0,0.492,10.0,19.0,0.526,20.0,26.0,0.769,7.0,35.0,17.0,5.0,2.0,8.0,20.0
73,Akron,20,2021-02-26,,Bowling Green State,L,71.0,83.0,21.0,61.0,0.344,7.0,27.0,0.259,22.0,31.0,0.71,14.0,38.0,7.0,4.0,8.0,11.0,19.0,31.0,67.0,0.463,7.0,23.0,0.304,14.0,19.0,0.737,11.0,34.0,13.0,6.0,0.0,10.0,24.0
74,Akron,21,2021-03-02,@,Buffalo,L,78.0,80.0,29.0,75.0,0.387,7.0,27.0,0.259,13.0,14.0,0.929,11.0,37.0,11.0,10.0,7.0,10.0,20.0,28.0,67.0,0.418,5.0,15.0,0.333,19.0,25.0,0.76,15.0,45.0,20.0,10.0,6.0,16.0,14.0
75,Akron,22,2021-03-11,N,Bowling Green State,W,74.0,67.0,25.0,58.0,0.431,7.0,21.0,0.333,17.0,24.0,0.708,9.0,37.0,7.0,1.0,3.0,6.0,15.0,27.0,68.0,0.397,3.0,23.0,0.13,10.0,14.0,0.714,12.0,35.0,6.0,3.0,2.0,2.0,20.0
76,Akron,23,2021-03-12,N,Buffalo,L (1 OT),74.0,81.0,30.0,77.0,0.39,6.0,26.0,0.231,8.0,9.0,0.889,15.0,37.0,13.0,2.0,5.0,10.0,18.0,33.0,70.0,0.471,7.0,16.0,0.438,8.0,19.0,0.421,18.0,48.0,14.0,9.0,4.0,13.0,17.0
77,Alabama,1,2020-11-25,,Jacksonville State,W,81.0,57.0,30.0,77.0,0.39,7.0,31.0,0.226,14.0,20.0,0.7,19.0,50.0,11.0,8.0,4.0,10.0,17.0,19.0,69.0,0.275,9.0,32.0,0.281,10.0,17.0,0.588,18.0,46.0,10.0,5.0,2.0,20.0,20.0
78,Alabama,2,2020-11-30,N,Stanford,L,64.0,82.0,24.0,67.0,0.358,7.0,29.0,0.241,9.0,15.0,0.6,7.0,30.0,10.0,10.0,5.0,15.0,20.0,31.0,60.0,0.517,8.0,15.0,0.533,12.0,19.0,0.632,6.0,40.0,15.0,8.0,5.0,20.0,18.0
